Company , Domain , SecurityGateway , MailGateway , MX
Cameron International , c-a-m ,  , Office 365 , cam-com0k.mail.protection.outlook.com
HD Supply Holdings , hdsupply , ProofPoint , unknown , mxb-001cc001.gslb.pphosted.com
Crown Holdings , crowncork ,  , own-domain , mail.crowncork.com
EOG Resources , eogresources ,  , Office 365 , eogresources-com.mail.protection.outlook.com
Veritiv , veritivcorp ,  , Office 365 , veritivcorp-com.mail.protection.outlook.com
Anadarko Petroleum , anadarko ,  , own-domain , dnvipmsx002.anadarko.com
Laboratory Corp. of America , labcorp , Cisco , unknown , mx2.labcorp.iphmx.com
Pacific Life , pacificlife ,  , own-domain , mail2.pacificlife.com
News Corp. , newscorp ,  , Google , aspmx.l.google.com
Jarden , jarden ,  , Office 365 , jarden-com.mail.protection.outlook.com
SunTrust Banks , suntrust ,  , own-domain , mx5.suntrust.com
Avis Budget Group , avis , MessageLabs , unknown , cluster8.us.messagelabs.com
Budget , budget , MessageLabs , unknown , cluster8.us.messagelabs.com
Broadcom , broadcom ,  , Google , aspmx.l.google.com
American Family Insurance Group , amfam ,  , own-domain , gmr.amfam.com
Level 3 Communications , level3 , MessageLabs , unknown , cluster5.us.messagelabs.com
Tenneco , tenneco ,  , Office 365 , tenneco-com.mail.protection.outlook.com
United Natural Foods , unfi ,  , Office 365 , unfi-com.mail.protection.outlook.com
Dean Foods , deanfoods ,  , Office 365 , deanfoods-com.mail.protection.outlook.com
Campbell Soup , campbellsoupcompany ,  , Office 365 , campbellsoupcompany-com.mail.protection.outlook.com
Mohawk Industries , mohawkind , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
BorgWarner , borgwarner ,  , Office 365 , borgwarner-com.mail.protection.outlook.com
PVH , pvh , Cisco , unknown , mx1.pvh.iphmx.com
Ball , ball , ProofPoint , unknown , mxb-0014fe01.gslb.pphosted.com
O’Reilly Automotive , oreillyauto , Trend Micro , unknown , oreillyauto.com.e0040.g0004.pg0089.im.emailsecurity.trendmicro.com
Eversource Energy , eversource , ProofPoint , unknown , mxb-0018e401.gslb.pphosted.com
Franklin Resources , franklinresources ,  ,  , bh.markmonitor.com
Masco , masco ,  , Office 365 , masco-com.mail.protection.outlook.com
Lithia Motors , lithia , ProofPoint , unknown , mxb-0021da01.gslb.pphosted.com
KKR , kkr ,  , Google , ASPMX.L.GOOGLE.com
Oneok , oneok , ProofPoint , unknown , mxb-0014fc01.gslb.pphosted.com
Newmont Mining , newmont , Cisco , unknown , mx1.hc1864.iphmx.com
PPL , pplweb , ProofPoint , unknown , mxa-0000ff01.gslb.pphosted.com
SpartanNash , spartannash , ProofPoint , unknown , mxb-00183101.gslb.pphosted.com
Quanta Services , quantaservices ,  , Office 365 , quantaservices-com.mail.protection.outlook.com
XPO Logistics , xpo , ProofPoint , unknown , mx0b-002b6701.pphosted.com
Ralph Lauren , ralphlauren ,  , own-domain , ns20.ralphlauren.com
Interpublic Group , interpublic , Cisco , unknown , mx1.ipg.iphmx.com
Steel Dynamics , steeldynamics , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
WESCO International , wesco , ProofPoint , unknown , mxb-00168f01.gslb.pphosted.com
Quest Diagnostics , questdiagnostics , MessageLabs , unknown , cluster4.us.messagelabs.com
Boston Scientific , bostonscientific , Cisco , unknown , mx1.bsci.iphmx.com
