Company , Domain , SecurityGateway , Mail Domain , MX
MGM Mirage , mgmmirage.com ,  ,  , inbound1.s4.mgmresorts.com
Pittston , brinks.com , Cisco , unknown , mx1.brinksinc.iphmx.com
Phelps Dodge , phelpsdodge.com ,  , GoDaddy , smtp.secureserver.net
Echostar Communications , dishnetwork.com ,  ,  , mailin.dish.com
MeadWestvaco , meadwestvaco.com ,  , Office365 , meadwestvaco-com.mail.protection.outlook.com
Encompass Services , encompserv.com ,  , own-domain , mail.encompserv.com
LTV , ltvsteel.com ,  ,  , smx1.web-hosting.com
York International , york.com ,  , Google , york.com.s8a1.psmtp.com
Wisconsin Energy , alliantenergy.com ,  , own-domain , escan1.alliantenergy.com
Constellation Energy , constellation.com ,  ,  , esa-omf-101.exeloncorp.com
United Stationers , essendant.com ,  , own-domain , mx1.essendant.com
Advanced Micro Devices , amd.com ,  , Office365 , amd-com.mail.protection.outlook.com
Steelcase , steelcase.com ,  ,  , gw141.fortimail.com
FMC , fmc.com , Forcepoint , unknown , cust33514-1.in.mailcontrol.com
Maxtor , maxtor.com ,  ,  , pps0.sv-ext.mailhost.seagate.com
Energy East , avangrid.com ,  ,  , sun2.iberdrola.com
NTL , ntl.com ,  , own-domain , mailrelay02.ntl.com
Host Marriott , hostmarriott.com , MessageLabs , unknown , cluster9.us.messagelabs.com
SouthTrust Corp. , southtrust.com ,  ,  , mx1-us2.ppe-hosted.com
Harrah's Entertainment , harrahs.com ,  ,  , smtp1.caesars.com
Brunswick , brunswick.com , ProofPoint , unknown , mxa-00185c01.gslb.pphosted.com
Family Dollar Stores , familydollar.com , ProofPoint , unknown , mxa-00183e01.gslb.pphosted.com
Kerr-McGee , anadarko.com ,  , own-domain , houipmsx004.anadarko.com
Smith International , smith.com ,  , Office365 , smith-com.mail.protection.outlook.com
Spartan Stores , spartanstores.com , ProofPoint , unknown , mxb-00183101.gslb.pphosted.com
USA Education , salliemae.com , FireEye , unknown , primary.us.email.fireeyecloud.com
Interstate Bakeries , irin.com ,  ,  , email.dstsystems.com
Roundy's , roundys.com ,  ,  , mail2.dmz.kroger.com
Scana , scana.com ,  , own-domain , csmtp2.scana.com
Liz Claiborne , katespade.com ,  , own-domain , mx2.katespadeandcompany.com
Adelphia Communications , adelphia.net ,  ,  , dnvrco-cmedge01.email.rr.com
Core-Mark International , coremark.com , Trend Micro , unknown , in-mig04.hes.trendmicro.com
Foster Wheeler , fwc.com ,  , Office365 , fwc-com.mail.protection.outlook.com
Borders Group , bordersgroupinc.com , MessageLabs , unknown , cluster8.us.messagelabs.com
Shopko Stores , shopko.com ,  , own-domain , mail01.shopko.com
Puget Energy , pse.com ,  ,  , extmx1.puget.com
Tenneco Automotive , tenneco-automotive.com ,  , Office365 , tennecoautomotive-com01i.mail.protection.outlook.com
Western Gas Resources , westerngas.com ,  , Office365 , westerngas-com.mail.eo.outlook.com
Bethlehem Steel , bethsteel.com ,  ,  , mail.b-io.co
Jefferson-Pilot , lfg.com ,  , own-domain , in3pamta01.lfg.com
Burlington Resources , br-inc.com ,  , own-domain , smtp.br-inc.com
