Company , Domain , SecurityGateway , Mail Domain , MX
Sonoco Products , sonoco.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
M & T Bank Corp. , mandtbank.com , ProofPoint , unknown , mxb-001e9201.gslb.pphosted.com
Stater Bros. Holdings , staterbros.com ,  , own-domain , mx1.staterbros.com
Citizens Communications , czn.com ,  , _Office365 , czn-com.mail.protection.outlook.com
Genesis Health Ventures , ghv.com ,  , GoDaddy , smtp.secureserver.net
Popular , bppr.com ,  , own-domain , bppr.com.mx.evertecinc.net
National Service Industries , nationalservice.com ,  , Return Path , mail.b-io.co
Nicor , nicor.com , ProofPoint , unknown , mxa-00113601.gslb.pphosted.com
Unitrin , unitrin.com , MessageLabs , unknown , cluster2.us.messagelabs.com
Fleetwood Enterprises , fleetwood.com ,  , own-domain , mail.fleetwood.com
Michaels Stores , michaels.com ,  , _Office365 , michaels-com.mail.protection.outlook.com
American Greetings , americangreetings.com , ProofPoint , unknown , mxa-00172901.gslb.pphosted.com
Reader's Digest Association , rd.com ,  , _Office365 , rd-com.mail.protection.outlook.com
Service Corp. International , sci-us.com , Cisco , unknown , mx2.sci-us.iphmx.com
Potomac Electric Power , exeloncorp.com ,  , own-domain , esa-ccc-102.exeloncorp.com
PetsMart , petsmart.com ,  , _Office365 , petsmart-com.mail.protection.outlook.com
Alberto-Culver , alberto.com ,  , Google , alt1.aspmx.l.google.com
Penn Traffic , penntraffic.com ,  , own-domain , mail.penntraffic.com
Dura Automotive Systems , duraauto.com , ProofPoint , unknown , mxa-0029a301.gslb.pphosted.com
Brinker International , brinker.com ,  , own-domain , smtp.brinker.com
Sabre Holdings , sabre.com , ProofPoint , unknown , mxa-00257e01.gslb.pphosted.com
Tower Automotive , towerautomotive.com ,  , Google , ASPMX.L.GOOGLE.com
Footstar , footstar.com ,  , GoDaddy , smtp.secureserver.net
First Tennessee National Corp. , firsttennessee.com ,  , own-domain , margate02.firsttennessee.com
Robert Half International , rhi.com ,  , _Office365 , rhi-com.mail.protection.outlook.com
Bowater , bowater.com , Cyren Web Security , unknown , p.webcom.ctmail.com
Huntington Bancshares , huntington.com ,  , own-domain , gw4net.huntington-bank.com
Timken , timken.com , MessageLabs , unknown , cluster4.us.messagelabs.com
CellStar , cellstar.com ,  ,  , mx174.mb5p.com
Exide Technologies , exideworld.com ,  , own-domain , exideworld.com.1.0001.arsmtp.com
Exide Technologies , wrigley.com ,  , _Office365 , wrigley-com.mail.protection.outlook.com
Adolph Coors , coors.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Washington Post , washingtonpost.com , ProofPoint , unknown , mxa-001a3c01.gslb.pphosted.com
ADC Telecommunications , adc.com ,  , _Office365 , adc-com.mail.protection.outlook.com
Wendy's International , wendys.com , MessageLabs , unknown , cluster6.us.messagelabs.com
McCormick , mccormick.com ,  , _Office365 , mccormick-com.mail.protection.outlook.com
Molex , molex.com , ProofPoint , unknown , mxa-00164e02.gslb.pphosted.com
Louisiana-Pacific , lpcorp.com , MessageLabs , unknown , cluster9.us.messagelabs.com
PNM Resources , pnm.com , ProofPoint , unknown , mxb-00241501.gslb.pphosted.com
